file,raw_response,question,option_A,option_B,option_C,option_D,option_E
3009_BATTLE_LOS_ANGELES/segment_0010.mp4,"Question:
What happens to the large vehicle that the group has been using for transport at the end of the video?

A. It stops at a gas station.
B. It is engulfed in a large burst of fire.
C. It crashes into a parked white car.
D. It is lifted into the air by an alien craft.
E. It drives into a brick building.

Correct Answer: B

Rationale:
In the final moments of the target scene, a massive orange flame erupts and washes over the front windshield and side of the bus that the characters are inside. Using the context, it is clear that this is the same vehicle the soldiers and civilians have been using to evacuate.",What happens to the large vehicle that the group has been using for transport at the end of the video?,It stops at a gas station.,It is engulfed in a large burst of fire.,It crashes into a parked white car.,It is lifted into the air by an alien craft.,It drives into a brick building.
3009_BATTLE_LOS_ANGELES/segment_0006.mp4,"Question:
As a group of soldiers approaches through the fog and is viewed through a scope, what is visible on the head of one of the individuals, identifying him as a member of the group seen earlier in the street?

A. A pair of binoculars
B. A white bandage
C. A set of night-vision goggles
D. A protective gas mask
E. A red beret

Correct Answer: B

Rationale:
In the target scene, when the arriving soldiers are viewed through the rifle scope and then seen kneeling in the street, one of them is clearly wearing a white bandage around his forehead. This matches the appearance of the injured soldier who was shown being assisted through the rubble in the earlier street sequence.","As a group of soldiers approaches through the fog and is viewed through a scope, what is visible on the head of one of the individuals, identifying him as a member of the group seen earlier in the street?",A pair of binoculars,A white bandage,A set of night-vision goggles,A protective gas mask,A red beret
3009_BATTLE_LOS_ANGELES/segment_0012.mp4,"Question:
What is the man in the white shirt doing as he is assisted by a soldier?

A. He is getting onto an orange bus.
B. He is climbing over a wall of grey blocks.
C. He is hiding underneath a car.
D. He is crossing a high bridge.
E. He is loading a weapon.

Correct Answer: B

Rationale:
In the target scene, the man in the white shirt is shown being physically assisted by a soldier to scale a wall of stacked grey concrete blocks.",What is the man in the white shirt doing as he is assisted by a soldier?,He is getting onto an orange bus.,He is climbing over a wall of grey blocks.,He is hiding underneath a car.,He is crossing a high bridge.,He is loading a weapon.
3009_BATTLE_LOS_ANGELES/segment_0020.mp4,"Question:
What is the target of the red laser beam being emitted from the device used by the soldiers on the ground?

A. A burning vehicle on the debris-filled road
B. A soldier positioned on the upper floor of a ruined building
C. A large mechanical structure standing in the distance
D. A crashed helicopter located near the concrete wall
E. A hole in the ground from which smoke is rising

Correct Answer: C

Rationale:
The red laser dot is clearly visible in multiple shots toward the end of the clip, where it is aimed directly at the tall, complex mechanical alien structure that towers over the surrounding ruins in the background.",What is the target of the red laser beam being emitted from the device used by the soldiers on the ground?,A burning vehicle on the debris-filled road,A soldier positioned on the upper floor of a ruined building,A large mechanical structure standing in the distance,A crashed helicopter located near the concrete wall,A hole in the ground from which smoke is rising
3009_BATTLE_LOS_ANGELES/segment_0014.mp4,"Question:
What is used to cover the man lying on the floor after the soldiers finish tending to him?

A. A dark green wool blanket
B. A reflective silver sheet
C. A camouflage-patterned tarp
D. A clear plastic drop cloth
E. A black quilted jacket

Correct Answer: B

Rationale:
In the target scene, a soldier takes a crinkly, shiny silver sheet and spreads it over the man who was being treated for a wound in the previous scene.",What is used to cover the man lying on the floor after the soldiers finish tending to him?,A dark green wool blanket,A reflective silver sheet,A camouflage-patterned tarp,A clear plastic drop cloth,A black quilted jacket
3009_BATTLE_LOS_ANGELES/segment_0013.mp4,"Question:
What does the soldier see on the floor after entering the burnt-out wreckage of the orange and white vehicle?

A. A group of survivors huddled together
B. Charred, blackened remains
C. A box of unexploded ammunition
D. A working communication device
E. A map of the surrounding city

Correct Answer: B

Rationale:
The context shows an orange and white bus being destroyed by a massive explosion. In the target scene, a soldier walks into the charred skeletal remains of that bus and observes blackened, charred remains lying on the floor among the debris.",What does the soldier see on the floor after entering the burnt-out wreckage of the orange and white vehicle?,A group of survivors huddled together,"Charred, blackened remains",A box of unexploded ammunition,A working communication device,A map of the surrounding city
3009_BATTLE_LOS_ANGELES/segment_0022.mp4,"Question:
After the soldiers finish resting and drinking water, what actions do they take with the supplies laid out in the tent?

A. They store the supplies in large wooden crates.
B. They use the supplies to treat their injuries.
C. They begin gathering bullets and passing grenades to each other.
D. They move the supplies to a vehicle outside.
E. They discard the supplies to make the tent more spacious.

Correct Answer: C

Rationale:
In the target scene, a soldier is seen picking up a handful of bullets from a pile on the table, and another soldier is shown handing a grenade to a teammate.","After the soldiers finish resting and drinking water, what actions do they take with the supplies laid out in the tent?",They store the supplies in large wooden crates.,They use the supplies to treat their injuries.,They begin gathering bullets and passing grenades to each other.,They move the supplies to a vehicle outside.,They discard the supplies to make the tent more spacious.
3009_BATTLE_LOS_ANGELES/segment_0016.mp4,"Question:
After being comforted by the woman near the man on the stretcher, what does the boy do when he moves toward the group of soldiers?

A. He points at a map on the wall.
B. He runs to a soldier and is embraced in a hug.
C. He sits on the floor and begins to play with a toy.
D. He tries to take a helmet from one of the soldiers.
E. He hides behind a large metal container.

Correct Answer: B

Rationale:
In the target scene, the boy runs away from the woman and directly into the arms of a soldier, who holds him in a close hug while the boy cries.","After being comforted by the woman near the man on the stretcher, what does the boy do when he moves toward the group of soldiers?",He points at a map on the wall.,He runs to a soldier and is embraced in a hug.,He sits on the floor and begins to play with a toy.,He tries to take a helmet from one of the soldiers.,He hides behind a large metal container.
3009_BATTLE_LOS_ANGELES/segment_0007.mp4,"Question:
What happens in the sky shortly after the helicopter takes off from the police station shown earlier?

A. It is escorted by a formation of three fighter jets.
B. It flies toward a distant pillar of black smoke.
C. A massive explosion occurs, and debris falls toward the ground.
D. It circles back to land on the station's roof.
E. It is hit by a beam of light from the clouds.

Correct Answer: C

Rationale:
After the helicopter departs from the police station, a huge fireball erupts in the air, and a soldier on the ground is shown protecting a child as debris from the explosion falls onto the street.",What happens in the sky shortly after the helicopter takes off from the police station shown earlier?,It is escorted by a formation of three fighter jets.,It flies toward a distant pillar of black smoke.,"A massive explosion occurs, and debris falls toward the ground.",It circles back to land on the station's roof.,It is hit by a beam of light from the clouds.
3009_BATTLE_LOS_ANGELES/segment_0017.mp4,"Question:
In the night scene containing fires and wreckage, what is the soldier wearing glasses seen doing?

A. He is driving a damaged military vehicle.
B. He is looking around while standing in a dark area.
C. He is talking to the woman from the shelter.
D. He is handing a bottle of water to a child.
E. He is repairing a broken piece of equipment.

Correct Answer: B

Rationale:
The soldier with glasses, previously shown in the underground shelter, appears again in the target scene looking around in a dark, outdoor environment filled with fires and debris.","In the night scene containing fires and wreckage, what is the soldier wearing glasses seen doing?",He is driving a damaged military vehicle.,He is looking around while standing in a dark area.,He is talking to the woman from the shelter.,He is handing a bottle of water to a child.,He is repairing a broken piece of equipment.
1026_Legion/segment_0004.mp4,"Question:
Into which vehicle is the man who was attacked by the elderly woman placed by the group?

A. A white pickup truck
B. A black SUV
C. A silver motorcycle
D. A yellow school bus
E. A red sedan

Correct Answer: B

Rationale:
The target scene shows several people carrying the injured man in the suit out of the diner and loading him into the back seat of a black SUV before driving away.",Into which vehicle is the man who was attacked by the elderly woman placed by the group?,A white pickup truck,A black SUV,A silver motorcycle,A yellow school bus,A red sedan
1026_Legion/segment_0000.mp4,"Question:
In the target scene, what is the man who was previously seen shirtless while treating his injuries in the context wearing as he collects multiple rifles from the racks?

A. A police officer's uniform
B. A dark tactical vest
C. A long, light-colored coat
D. A black leather jacket
E. A hooded sweatshirt

Correct Answer: C

Rationale:
In the target scene, the man is shown putting on and wearing a long, light-colored overcoat as he loads magazines and gathers several rifles from the storage room racks.","In the target scene, what is the man who was previously seen shirtless while treating his injuries in the context wearing as he collects multiple rifles from the racks?",A police officer's uniform,A dark tactical vest,"A long, light-colored coat",A black leather jacket,A hooded sweatshirt
1026_Legion/segment_0015.mp4,"Question:
What is visible on the arm of the man in the car that matches the patterns previously seen on the winged man's skin?

A. Jagged scars from a blade
B. Intricate black symbols or script
C. Shimmering silver dust
D. Heavy metal gauntlets
E. Smudges of dark soot

Correct Answer: B

Rationale: After the vehicle drives away from the diner, the man looks at his forearm, which is covered in black, script-like markings identical to those seen on the chest and neck of the winged man earlier in the clip.",What is visible on the arm of the man in the car that matches the patterns previously seen on the winged man's skin?,Jagged scars from a blade,Intricate black symbols or script,Shimmering silver dust,Heavy metal gauntlets,Smudges of dark soot
1026_Legion/segment_0009.mp4,"Question:
What distinctive item is attached to the blue sleeve of the person opening the door?

A. A silver buckle
B. A red pom-pom
C. A yellow tassel
D. A white button
E. A green patch

Correct Answer: B

Rationale:
As the door is pulled open, a hand grips the edge of the door, and a small red pom-pom is clearly visible on the person's blue sleeve. This matches the specific clothing seen earlier in the video on the man sitting on the roof.",What distinctive item is attached to the blue sleeve of the person opening the door?,A silver buckle,A red pom-pom,A yellow tassel,A white button,A green patch
1026_Legion/segment_0006.mp4,"Question:
What happens to the person who arrived in the ice cream truck when he stands in the headlights of the vehicle?

A. He begins to repair a flat tire on the front of the truck.
B. He opens the side window to serve food to the people outside.
C. His jaw unhinges to an extreme length and his body becomes elongated.
D. He waves a white flag to signal a peaceful surrender to the group.
E. He climbs onto the roof of the truck to get a better view of the building.

Correct Answer: C

Rationale: The man in the uniform stands in front of the truck's lights and his mouth stretches open to an impossible size, while his limbs grow long and thin as he transforms.",What happens to the person who arrived in the ice cream truck when he stands in the headlights of the vehicle?,He begins to repair a flat tire on the front of the truck.,He opens the side window to serve food to the people outside.,His jaw unhinges to an extreme length and his body becomes elongated.,He waves a white flag to signal a peaceful surrender to the group.,He climbs onto the roof of the truck to get a better view of the building.
1026_Legion/segment_0012.mp4,"Question:
After the confrontation in the kitchen, what is the child who was earlier seen biting a man's neck doing as he sits on the floor?

A. He is crying loudly while holding his face.
B. He is staring at his hands, which are covered in blood.
C. He is hiding a small knife inside his sweater.
D. He is trying to crawl away under a counter.
E. He is eating a piece of food he found on the floor.

Correct Answer: B

Rationale:
At 02:15, the child is shown sitting on the kitchen floor and staring at his hands, which are visibly covered in blood.","After the confrontation in the kitchen, what is the child who was earlier seen biting a man's neck doing as he sits on the floor?",He is crying loudly while holding his face.,"He is staring at his hands, which are covered in blood.",He is hiding a small knife inside his sweater.,He is trying to crawl away under a counter.,He is eating a piece of food he found on the floor.
1026_Legion/segment_0002.mp4,"Question:
What is the man in the workshop repairing?

A. A gas pump
B. A jukebox
C. A car engine
D. A wooden crib
E. A cash register

Correct Answer: D

Rationale:
The man in the workshop is shown hammering and adjusting the wooden slats of the same frame that was previously seen being carried across the yard.",What is the man in the workshop repairing?,A gas pump,A jukebox,A car engine,A wooden crib,A cash register
1026_Legion/segment_0013.mp4,"Question:
After the woman with dark eyes and a stained shirt is shot, what does the man in the tan jacket catch?

A. A loaded pistol
B. A medical kit
C. A white bundle containing a baby
D. A flashlight
E. A length of rope

Correct Answer: C

Rationale:
In the target scene, the man in the tan jacket is shown catching a white bundle that was dropped by the woman with dark eyes after she was shot. The context establishes that this bundle contains the newborn baby that was wrapped in white cloth shortly after its birth.","After the woman with dark eyes and a stained shirt is shot, what does the man in the tan jacket catch?",A loaded pistol,A medical kit,A white bundle containing a baby,A flashlight,A length of rope
1026_Legion/segment_0008.mp4,"Question:
What does the man who was previously seen using metal tongs to flip food on a grill bring to the woman sitting at the counter?

A. A white plate
B. A blue can
C. A lit cigarette
D. A silver lighter
E. A glass of water

Correct Answer: B

Rationale:
The man is shown walking over to the seated woman and placing a blue can on the counter, which she then picks up and drinks from.",What does the man who was previously seen using metal tongs to flip food on a grill bring to the woman sitting at the counter?,A white plate,A blue can,A lit cigarette,A silver lighter,A glass of water
1026_Legion/segment_0001.mp4,"Question:
What is the physical condition of the woman who emerges from the silver trailer that the man was previously seen exiting?

A. She is dressed in a police uniform.
B. She is carrying two large black bags.
C. She is visibly pregnant.
D. She has sharp, elongated teeth.
E. She has soot and burns on her face.

Correct Answer: C

Rationale:
In the target scene, when the woman steps out of the trailer and later sits on the swing, her distended abdomen is clearly visible beneath her clothing and red wrap, indicating she is pregnant.",What is the physical condition of the woman who emerges from the silver trailer that the man was previously seen exiting?,She is dressed in a police uniform.,She is carrying two large black bags.,She is visibly pregnant.,"She has sharp, elongated teeth.",She has soot and burns on her face.
1026_Legion/segment_0016.mp4,"Question:
What is the blonde woman who was previously seen in the car's passenger seat holding as she stands on the rocky cliff?

A. A heavy stone
B. A baby wrapped in a white blanket
C. A handgun
D. A flashlight
E. A metal pipe

Correct Answer: B

Rationale:
In the target scene, the blonde woman is shown holding a crying infant wrapped in a white knit blanket while standing on the rocks and facing the winged attacker.",What is the blonde woman who was previously seen in the car's passenger seat holding as she stands on the rocky cliff?,A heavy stone,A baby wrapped in a white blanket,A handgun,A flashlight,A metal pipe
1026_Legion/segment_0017.mp4,"Question:
When the interior of the vehicle is shown from the back, what equipment is visible behind the seats that the couple did not have while on the rocky cliff?

A. Large water canisters
B. Fishing rods and gear
C. A collection of rifles and guns
D. Camping tents and supplies
E. Stacks of wooden crates

Correct Answer: C

Rationale:
The target scene includes a shot from the rear of the car's interior showing several firearms propped up behind the driver and passenger, whereas earlier on the cliff, the couple had no such weapons.","When the interior of the vehicle is shown from the back, what equipment is visible behind the seats that the couple did not have while on the rocky cliff?",Large water canisters,Fishing rods and gear,A collection of rifles and guns,Camping tents and supplies,Stacks of wooden crates
1026_Legion/segment_0005.mp4,"Question:
What does the man who arrived in the police car reveal to the group when he opens the vehicle's trunk?

A. A spare tire and a jack
B. A large cache of firearms and ammunition
C. A radio and emergency flares
D. A map of the surrounding desert
E. Several containers of water

Correct Answer: B

Rationale:
In the target scene, the man in the trench coat opens the trunk of the police car to reveal various automatic rifles and belts of ammunition, which he then begins distributing to the others.",What does the man who arrived in the police car reveal to the group when he opens the vehicle's trunk?,A spare tire and a jack,A large cache of firearms and ammunition,A radio and emergency flares,A map of the surrounding desert,Several containers of water
3074_THE_ROOMMATE/segment_0004.mp4,"Question:
What item, which the woman was previously seen with in a classroom, does she place on the table in the library?

A. A blue backpack
B. A red zippered case
C. A white coffee cup
D. A green notebook
E. A black laptop

Correct Answer: B

Rationale:
In the context, the woman is seen in a classroom setting with a red zippered case on her desk, which she opens to check her phone. In the target scene, she approaches a man in the library and places that same red zippered case on the table. Although she also places a coffee cup on the table, that item was not shown during the earlier classroom scene.","What item, which the woman was previously seen with in a classroom, does she place on the table in the library?",A blue backpack,A red zippered case,A white coffee cup,A green notebook,A black laptop
3074_THE_ROOMMATE/segment_0000.mp4,"Question:
What is the woman who was seen entering the room while the other person slept doing when that person wakes up during the daytime?

A. Unpacking clothes from a suitcase.
B. Pinning a sketch to a bulletin board.
C. Looking through the items on the desk.
D. Closing the curtains to block the sun.
E. Drinking from a clear plastic bottle.

Correct Answer: B.

Rationale:
In the target scene, the woman is shown standing by a wall covered in various drawings and photos, actively using her hand to pin a new sketch of a person's face onto the bulletin board.",What is the woman who was seen entering the room while the other person slept doing when that person wakes up during the daytime?,Unpacking clothes from a suitcase.,Pinning a sketch to a bulletin board.,Looking through the items on the desk.,Closing the curtains to block the sun.,Drinking from a clear plastic bottle.
3074_THE_ROOMMATE/segment_0015.mp4,"Question:
According to the handwritten note slid under the door of room 316, what is the hotel room number where the sender is currently staying?

A. 101
B. 210
C. 212
D. 316
E. 405

Correct Answer: B

Rationale:
The handwritten note visible in the target scene explicitly states, ""I'm at the Roswell Hotel, Room 210."" Context from earlier in the video establishes that the door where this note is delivered is labeled with the number ""316.""","According to the handwritten note slid under the door of room 316, what is the hotel room number where the sender is currently staying?",101,210,212,316,405
3074_THE_ROOMMATE/segment_0018.mp4,"Question:
What does the woman in the white shirt remove from the woman lying on the floor?

A. A wristwatch
B. A leather strap
C. A necklace
D. A ring
E. A cell phone

Correct Answer: C

Rationale:
The woman in the white shirt reaches down to the neck of the woman lying on the floor, grabs a thin chain, and pulls it until it comes off. She is then shown holding the necklace in her hand and looking at it.",What does the woman in the white shirt remove from the woman lying on the floor?,A wristwatch,A leather strap,A necklace,A ring,A cell phone
3074_THE_ROOMMATE/segment_0009.mp4,"Question:
While working behind the counter, what item is the woman with long brown hair wearing over her striped shirt?

A. A grey blazer
B. A white apron with a logo
C. A black cardigan
D. A denim jacket
E. A yellow sweater

Correct Answer: B

Rationale:
In the target scene, the woman with long brown hair is shown working in a coffee shop wearing a white apron with a circular logo over her black and white striped shirt. This contrasts with the context, where she is seen wearing a grey blazer over the same striped shirt while in a classroom.","While working behind the counter, what item is the woman with long brown hair wearing over her striped shirt?",A grey blazer,A white apron with a logo,A black cardigan,A denim jacket,A yellow sweater
3074_THE_ROOMMATE/segment_0012.mp4,"Question:
After the blonde woman leaves for the studio, what items does the woman seen returning from a run find hidden in a desk drawer?

A. A set of car keys and a leather wallet
B. A brown spiral sketchbook and a yellow pill bottle
C. A silver laptop and a black smartphone
D. A digital camera and several photographs
E. A small jewelry box and a diary

Correct Answer: B

Rationale:
In the target scene, the brunette woman (who was shown sweaty and returning from a run in the context) opens a desk drawer and discovers a brown spiral-bound sketchbook, followed by a yellow medicine bottle with a white cap.","After the blonde woman leaves for the studio, what items does the woman seen returning from a run find hidden in a desk drawer?",A set of car keys and a leather wallet,A brown spiral sketchbook and a yellow pill bottle,A silver laptop and a black smartphone,A digital camera and several photographs,A small jewelry box and a diary
3074_THE_ROOMMATE/segment_0002.mp4,"Question:
What item, which was earlier shown being worn by the woman with the ponytail, is the other woman seen wearing and apologizing for ""trying on"" in the target scene?

A. A denim jacket
B. A pair of gold hoop earrings
C. A silver wristwatch
D. A gold teardrop necklace
E. A black headband

Correct Answer: D

Rationale:
In the target scene, a close-up shows a gold teardrop-shaped pendant necklace on the blonde woman's chest as she apologizes, saying she was ""just trying it on."" This same necklace was previously worn by the woman with the ponytail during the context.","What item, which was earlier shown being worn by the woman with the ponytail, is the other woman seen wearing and apologizing for ""trying on"" in the target scene?",A denim jacket,A pair of gold hoop earrings,A silver wristwatch,A gold teardrop necklace,A black headband
3074_THE_ROOMMATE/segment_0013.mp4,"Question:
After finishing her run, what does the woman who was hugged by a man at the beginning of the video do at the building entrance?

A. She uses a key to open the front door.
B. She presses buttons on an electronic directory.
C. She speaks into a radio mounted on the wall.
D. She takes a seat on a stone ledge to rest.
E. She looks at a map posted near the gate.

Correct Answer: B

Rationale:
The woman is shown approaching a silver wall panel labeled ""Electronic Directory"" and pressing buttons on its keypad, while the display screen on the device indicates that it is ""Dialing..."".","After finishing her run, what does the woman who was hugged by a man at the beginning of the video do at the building entrance?",She uses a key to open the front door.,She presses buttons on an electronic directory.,She speaks into a radio mounted on the wall.,She takes a seat on a stone ledge to rest.,She looks at a map posted near the gate.
3074_THE_ROOMMATE/segment_0016.mp4,"Question:
Which specific piece of jewelry, shown being put on by the woman earlier, is featured in a close-up shot while she is in the dark bedroom?

A. A silver cross
B. A teardrop-shaped pendant
C. A gold wedding ring
D. A pearl earring
E. A beaded bracelet

Correct Answer: B

Rationale:
The target scene features a clear close-up of a teardrop-shaped pendant hanging from the woman's neck as she leans over the man in bed, which matches the jewelry she was shown putting on during her preparations in the context part of the clip.","Which specific piece of jewelry, shown being put on by the woman earlier, is featured in a close-up shot while she is in the dark bedroom?",A silver cross,A teardrop-shaped pendant,A gold wedding ring,A pearl earring,A beaded bracelet
3074_THE_ROOMMATE/segment_0007.mp4,"Question:
In what situation is the small black cat found when it appears in the hallway?

A. It is trapped inside a laundry basket.
B. It is being held by a woman in a white T-shirt.
C. It is eating from a bowl on the floor.
D. It is sitting on top of a radiator.
E. It is hiding behind a large potted plant.

Correct Answer: B

Rationale:
In the target scene, a woman wearing a white T-shirt is seen standing in the hallway holding the small black cat before handing it over to another woman. The context earlier established this cat as a pet belonging to the room.",In what situation is the small black cat found when it appears in the hallway?,It is trapped inside a laundry basket.,It is being held by a woman in a white T-shirt.,It is eating from a bowl on the floor.,It is sitting on top of a radiator.,It is hiding behind a large potted plant.
3074_THE_ROOMMATE/segment_0017.mp4,"Question:
What text is written on the small white sign on the door the woman in the white shirt tries to open at the end of the scene?

A. EXIT ONLY
B. NO ADMITTANCE
C. ENTRÉE DES ARTISTES
D. STAFF ROOM
E. PRIVATE RESIDENCE

Correct Answer: C

Rationale:
As the woman in the white shirt attempts to flee through the room's main door, a small white plaque is visible beneath the room number; the context provides a clear view of this same door earlier, revealing the inscription ""ENTRÉE DES ARTISTES.""",What text is written on the small white sign on the door the woman in the white shirt tries to open at the end of the scene?,EXIT ONLY,NO ADMITTANCE,ENTRÉE DES ARTISTES,STAFF ROOM,PRIVATE RESIDENCE
3074_THE_ROOMMATE/segment_0005.mp4,"Question:
What is the state of the dark-colored sleeve shown at the beginning of the segment following the attack in the shower?

A. It is covered in soap bubbles.
B. It is stained with blood.
C. It is dripping with water.
D. It is torn and tattered.
E. It is dry and pressed.

Correct Answer: C

Rationale:
The target scene opens with a close-up of a black sleeve that is visibly saturated, with clear water droplets falling from it onto the ground.",What is the state of the dark-colored sleeve shown at the beginning of the segment following the attack in the shower?,It is covered in soap bubbles.,It is stained with blood.,It is dripping with water.,It is torn and tattered.,It is dry and pressed.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0004.mp4,"Question:
What happens to the long-haired man who survived the forest attack after he stumbles into the tavern and mentions the witch?

A. He transforms into a crow and flies out the window.
B. He collapses to the floor and melts into a pool of black liquid.
C. He violently explodes, spraying blood over the tavern patrons.
D. He attacks the woman standing in front of him with a dagger.
E. He is shot by one of the armed men in the room.

Correct Answer: C

Rationale:
In the target scene, the long-haired survivor stumbles into the tavern, gasps out that a witch killed his companions, and then suddenly chokes and violently explodes, showering the tavern patrons in blood.",What happens to the long-haired man who survived the forest attack after he stumbles into the tavern and mentions the witch?,He transforms into a crow and flies out the window.,He collapses to the floor and melts into a pool of black liquid.,"He violently explodes, spraying blood over the tavern patrons.",He attacks the woman standing in front of him with a dagger.,He is shot by one of the armed men in the room.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0000.mp4,"Question:
What is the boy forced to eat while trapped inside the cage?

A. A piece of raw meat
B. A blue candy
C. A mushroom
D. A loaf of bread
E. A green apple

Correct Answer: B

Rationale:
In the target scene, the witch is seen forcing a bright blue sugary candy block into the boy's mouth (around 01:33), and he is later shown holding and eating this same blue candy inside his cage (around 01:44). This candy matches the colorful sweets from the house's exterior shown in the context.",What is the boy forced to eat while trapped inside the cage?,A piece of raw meat,A blue candy,A mushroom,A loaf of bread,A green apple
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0020.mp4,"Question:
After the witch with dark hair and pale skin is decapitated in the struggle, what does the man do with her severed head?

A. He tosses it out of the cave opening into the forest.
B. He places it inside a hanging metal cauldron.
C. He wraps it in a piece of dark cloth.
D. He leaves it on the floor next to her body.
E. He hands it to the young man who just entered the cave.

Correct Answer: B

Rationale:
In the target scene, after the witch is decapitated by the wooden paddle, the man is shown holding her severed head by the hair and dropping it directly into a large hanging metal cauldron.","After the witch with dark hair and pale skin is decapitated in the struggle, what does the man do with her severed head?",He tosses it out of the cave opening into the forest.,He places it inside a hanging metal cauldron.,He wraps it in a piece of dark cloth.,He leaves it on the floor next to her body.,He hands it to the young man who just entered the cave.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0019.mp4,"Question:
In the target scene, a woman enters the wooden structure to assist the man in his fight against the pale witch. Based on the companions shown in the context, what is her appearance and relationship to the initial group?

A. She is the red-haired woman who was previously attacked outside.
B. She is a dark-haired woman who was not seen with the companions earlier.
C. She is the young man who was previously taken hostage, now disguised.
D. She is a clone of the red-haired companion wearing different clothes.
E. She is a pale-skinned witch with feathers who decided to help the man.

Correct Answer: B

Rationale:
In the target scene, a dark-haired woman enters the cabin to help fight the witch. Based on the context, the man's only companions shown beforehand were a red-haired woman and a young man, confirming that this dark-haired woman is a new character not previously seen with the group.","In the target scene, a woman enters the wooden structure to assist the man in his fight against the pale witch. Based on the companions shown in the context, what is her appearance and relationship to the initial group?",She is the red-haired woman who was previously attacked outside.,She is a dark-haired woman who was not seen with the companions earlier.,"She is the young man who was previously taken hostage, now disguised.",She is a clone of the red-haired companion wearing different clothes.,She is a pale-skinned witch with feathers who decided to help the man.
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0001.mp4,"Question:
What object, which was previously shown flying through the flames, lands on the ""Meadow Witch Killed"" newspaper clipping?

A. A leather-wrapped dagger
B. A metal throwing star
C. A burning torch
D. A crossbow bolt
E. A wooden stake

Correct Answer: B

Rationale:
In the target scene, a silver multi-pointed metal throwing star lands on the right side of the ""Meadow Witch Killed"" newspaper clipping, leaving behind smoke and singe marks.","What object, which was previously shown flying through the flames, lands on the ""Meadow Witch Killed"" newspaper clipping?",A leather-wrapped dagger,A metal throwing star,A burning torch,A crossbow bolt,A wooden stake
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0016.mp4,"Question:
What type of weapon does the red-haired woman, who was shown setting up wires in the forest, use to attack the crowd of witches?

A. A wooden crossbow
B. A longbow
C. A heavy multi-barreled machine gun
D. A magical staff
E. A pair of daggers

Correct Answer: C

Rationale:
In the target scene, the red-haired woman is shown turning hand cranks to operate and fire a large, multi-barreled machine gun (gatling gun) mounted in the forest, which shreds through the crowd of witches.","What type of weapon does the red-haired woman, who was shown setting up wires in the forest, use to attack the crowd of witches?",A wooden crossbow,A longbow,A heavy multi-barreled machine gun,A magical staff,A pair of daggers
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0007.mp4,"Question:
What weapon is the long-haired man, who assisted in capturing the woman with spiky hair in the forest, holding while standing guard inside the stone building?

A. A crossbow
B. A double-barreled gun
C. A long sword
D. A wooden staff
E. A metal whip

Correct Answer: B

Rationale:
In the target scene, the long-haired man is shown standing guard on an elevated wooden balcony inside the stone building, holding a double-barreled shotgun with both hands.","What weapon is the long-haired man, who assisted in capturing the woman with spiky hair in the forest, holding while standing guard inside the stone building?",A crossbow,A double-barreled gun,A long sword,A wooden staff,A metal whip
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0017.mp4,"Question:
Which weapon, previously operated by the blonde woman to shoot at enemies from the cave, is visible next to her when she stands near the cave entrance with another woman?

A. A large mounted multi-barreled gun
B. A wooden crossbow
C. A spiked metal whip
D. A long-barreled rifle
E. A throwing spear

Correct Answer: A

Rationale:
At the 1:58 mark, the blonde woman is shown standing next to the large mounted multi-barreled gun she previously operated on the rocky ledge of the cave entrance.","Which weapon, previously operated by the blonde woman to shoot at enemies from the cave, is visible next to her when she stands near the cave entrance with another woman?",A large mounted multi-barreled gun,A wooden crossbow,A spiked metal whip,A long-barreled rifle,A throwing spear
3031_HANSEL_GRETEL_WITCH_HUNTERS/segment_0005.mp4,"Question:
After waking up, the woman who was shown sleeping at the end of the context climbs down from her bed. Where is the man in the room sleeping?

A. On a wooden chair by the table
B. On the floor directly below her bunk bed
C. In the bottom bunk bed of the same frame
D. On a rug near the fireplace
E. On a bench against the far wall

Correct Answer: B

Rationale:
In the target scene, when the woman wakes up and climbs down from the top bunk, a man is shown sleeping on the wooden floorboards directly underneath her bed.","After waking up, the woman who was shown sleeping at the end of the context climbs down from her bed. Where is the man in the room sleeping?",On a wooden chair by the table,On the floor directly below her bunk bed,In the bottom bunk bed of the same frame,On a rug near the fireplace,On a bench against the far wall
